query|answer
how to identify that script handled the schedule change in amadeus|How to identify that script handled the schedule change in GDS<br>Amadeus - Touchless<br>Itinerary [RHI]<br>In the red square, you can see the schedule change that occurred from the side.<br>In the blue square, you can see our signature that confirmed the new valid alternative.<br>Message to the customer [RTB]<br>In order to see the message that was sent to the customer, please use command RTB.<br>Note that the system can create the message, but not send it due to an error that might occur during the reissue. ALWAYS check the PNR history.<br>RM lines history [RHR]<br>When you find this line, it means that the above message was sent to the email<br>Docs Ref: Schedule change GDS Automation -SC Script
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
steps for void cancellation|"Step by Step - Void a Ticket - Amadeus<br>Checklist:<br>1) Have I checked in Edvin for any void restrictions? If nothing is mentioned in the docs, have I checked the fare rules and the HEETT(YY) command?<br>2) Have I checked if the VOID automation applies as described here<< https://etraveligroup.shelf.io/read/09665f68-4407-41b5-a687-4078dc2f7e7a >>?<br>3) Have I remembered to void all the tickets including infants and EMDs?<br>4) Is it a Single or Multiple PNR?<br>5) Any LCC involved?<br>6) Is it a CC2C order?<br>7) Remember to void before you cancel the segments. It is much more time-consuming to do it afterwards...<br>8) Voiding a ticket is only possible if the ticket was issued the same day (voiding is possible until midnight and if no discrepancies apply according to airline info in Edvin and/or fare rules)<br>ATTENTION: In case you are processing void and the tickets are not issued yet, please make sure that before and after modifying the order you will do IR to make sure that there are no tickets issued in the meantime.<br>Unless the order in Edvin is marked with the banner 'Delayed Ticketing', the tickets in the GDS are issued automatically, usually within 10 minutes from the time of the order creation/ payment.<br>Follow below guidelines for void in Amadeus/ Sabre.<br>1) Check if the void is still possible technically (time conversion)<br>To be sure of the issuing date and place of issue, open the tickets in GDS. Due to the fact that we have many different office IDs, we need to check the time in the issuing area.<br>For example, this ticket was booked on 10 January 20 in the SYD office.<br>Customer called us a few hours later and asked for cancellation (VOID).<br>Ticket is issued in our area: SYD<br>We need to check what time and day it is now that we wish to void the ticket in SYD so as to make sure we are still in the same calendar day for the area the ticket was issued in.<br>Use command in amadeus DDXXX (where XXX is the POI area of our ticket).<br>E.g DDSYD<br>2) Check if the airline has any restrictions in Edvin docs and/or GDS with the following commands<br>After you have made sure that for the ticket issuance area we are still on the same calendar day, we need to check if there are any restrictions by the airline for permitting void.<br>Void is not guaranteed for all airlines, tickets and/or fare types.<br>First check Edvin CXL docs for the airline that the ticket stock belongs to so as to make sure if there are any restrictions in place for your ticket.<br>If there is nothing mentioned in Edvin docs, do not assume that the void option is eligible.<br>You need to follow the next 2 steps to make sure we can void the ticket without receiving later on either an error or a charge by the airline.<br>2.1) Open fare rules and read the section for any void restriction.<br>2.2) Do the HEETT + YY code command in Amadeus to check if VOID is permitted by the airline in the respective office, even if the ticket is issued in Sabre.<br>E.g let's say we need to check void for KM airline in AU (SYD) office.<br>We do HEETT + YY code and search for the country code corresponding to the ticket issuance office.<br>If you handle a Sabre booking and you are not sure which country code corresponds to the ticket issuance office, you may use in Sabre the command W/* + PCC office code.<br>Once you find the relevant market, type the respective command visible on the right side in order to check the restrictions for the office you need:<br>Our next command is MS22 and we move down until we find stands for void is technically possible.<br>3) If void is possible and passenger wishes to proceed after informing them our handling fee, continue with the void commands.<br>Note:<br>You must be in the correct area where the ticket has been issued, to be able to void it, or else system will respond with error message<br>ETKT DOCUMENTS NOT FOUND or VOID ENTRY MUST BE MADE BY PSEUDO CITY OF ORIGINAL.<br>EMD's must be voided as well if voiding the air tickets.<br>If partial cancellation is applied, always split the passengers who want to cancel, guidelines can be found here.<br>If you have cancelled the segments before void entry:<br>You can void after, if you use: TRDC/TK-TKTNR.<br>Always remove the first 3 numbers in the ticket number.<br>EX: TRDC/TK-144XXXXXX<br>Don't forget to void all the tickets if all tickets are affected.<br>Please see cancellation fee in Edvin.<br>How to Void Ticket and EMD<br>Open the PNR in the GDS and check whether the tickets and EMD are issued.<br>Amadeus RTTN<br>Sabre *T<br>In Amadeus, the ticket line number will be denoted by 'ET', circled in purple above and the EMD will be denoted by 'DT', circled in red. In this example, LH is the issuing carrier/plating carrier for the ticket and EMD.<br>4) Delete the segments<br>5) Add ghostline<br>6) Run Modify Order with reason Send Void confirmation email from Edvin<br>Amadeus:<br>Retrieve pnr in respective office id, use RT+PNR<br>Check Ticket status (O or A) in ticket line. Use RTTN to open ticket line. TWD/L(1) to open ticket.<br>Check issuance date and time in the respective office id city.<br>Check documents for void exceptions. If nothing is mentioned in Edvin docs, check the fare rules and do the WETP*YY command as described above. If no restrictions are found, move on to the next step.<br>Void tickets: TRDC/L1(no. of ticket line) or TRDC/TK+10digit of tkt number without 3 first. Ex: TRDC/TK12548598756<br>Check ticket status is VOID<br>Press RTTN to open tickets records<br>Open the ticket you have voided with the command TWD/LX where XX is the number of the line of the ticket or TWD/TKTXXX-XXXXXXXXXX where XXX-XXXXXXXXXX is the number of the ticket<br>Check the status of the ticket: if it is V, means the ticket was successfully voided<br>Delete segments: XE1-5 or XE1,3 and then ER to save and IR to double check<br>Proceed with the Modify Order key in Edvin and select: Void<br>(Note: ""Modify Order"" creates automatically a register errand! Write free flow text as order note in ""note"" box and insert all fees in details.<br>Send cancellation confirmation email from Edvin for Void<br>***ATTENTION***<br>For Domestic tickets issued in Amadeus office ID SELK138TF when voiding a ticket, you should add at the end of the voiding command /T-YY . YY stands for the validating carrier (the carrier who issued the ticket).<br>Therefore, the commands that should be used are:<br>- TRDC/Lticket line/T-and the validating carrier code.<br>Example: TRDC/L35/T-KE - Void the ticket in line 35 that was issued by KE Korean Air.<br>or<br>- TRDC/TKthe 10 digits of the ticket/T-and the validating carrier code.<br>Example: TRDC/TK1234567890/T-KE - Void the ticket number 1234567890 that was issued by KE Korean Air.<br>For ALL tickets issued in Amadeus office ID SAO2R21Z6 and for JJ as operating carrier and LA as marketing carrier, the void should be made as per below:<br>- TRDC/Lticket line/T-and the validating carrier code.<br>Example: TRDC/L35/T-JJ - Void the ticket in line 35 that was issued by JJ LATAM Brazil.<br>or<br>- TRDC/TKthe 10 digits of the ticket/T-and the validating carrier code.<br>Example: TRDC/TK1234567890/T-JJ - Void the ticket number 1234567890 that was issued by JJ LATAM Brazil.<br>Docs Ref: Step by Step - Void a Ticket - Amadeus and Sabre"
steps for rebooking with manual change|Step by Step - Amadeus Manual Change<br>You use manual calculation only when ATC not applicable by airline and changes are permitted in fare rules in the same pnr.<br>Possible error message you may receive when you try ATC: Check category 31(amadeus)<br>Always check Fare rules (Category 16) and Max/Min. stay (Category 06 & 07) quoting rebooking charges for<br>manual rebooking.<br>The most important fare rules are:<br>16.PENALTIES<br>11.BLACKOUTS<br>03.SEASONS<br>04.FLIGHT APPL<br>05.ADV RES/TKTG<br>06.MIN STAY<br>07.MAX STAY<br>Availability<br>1. Retrieve pnr in respective office id, use RT+pnr<br>2. Make availability for new flights using below command: sn(date)(citypair)/a(al) ex: sn25decatharn/ask<br>3. Select seats: ss(n.of seats)(class)(line of flight) ex. SS1Y1 OR SS1YY1( If flight with connection)<br>4. Then RT to retrieve pnr<br>ATTENTION:<br>There are airlines, like EK where before the availability and the seat selection must be made after the original segments are removed (removed without saving). Please follow the steps below:<br>1. Retrieve the existing PNR<br>2. Remove the original dates (DO NOT SAVE any segments). Do a fresh availability and sell for the new itinerary required by the passenger. The agent may not see accurate availability, unless holding segments are cancelled.<br>3. After removing the segments, if there is no availability for new dates, the agent can ignore and retrieve the existing PNR No seats from the original booking would have been lost.<br>Pricing<br>1. Price all segments that he will use. If you have round trip and he asks to rebook OB and keep IB you have to include in the command new OB and old IB.<br>2. Pricing: Fxx/s1,2/r,up (informative- prices the class you have selected)<br>Or: Fxp/s1,2 ( prices the classes you have selected and saves the mask)<br>3. Pricing: Fxb/s1,2,4/r,up ( prices the best available combination, check that no downgrade has been done)<br>4. To open specific fare basis pricing mask use FQQ(line of fare basis you want)<br>Calculation<br>1. No flexible tkt: Compare fare+taxes one by one with old ticket in GDS.+penalty from fare rules and convert to pax currency<br>2. Create Add on cart: total yy cost+our voluntary rebooking service fee<br>3. If flexible applied: Compare fare+taxes one by one with old ticket in GDS.<br>4. If you have IT fare: Use TQT to check fare amount of original ticket.<br>5. Create Add on cart: Sum up fare and tax from comparison. No penalty applies<br>6. If passenger will not proceed or you've created Add on cart and it is not working, ignore the pnr and register errand in rebooking wizard with no queue action<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. More details can be found here: Flexible GDS - Rebooking<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=double-click&searchEventId=01GYCEFWXHEYDR9ZG3H82BZYV7&source=shelf&DTStep=01G62Y8VHDWMW0PY8GXHXC08GE#first-opened-step >><br>3. after the fxx- we update segments with TTU/s1,2 and ER(if needed)<br>4. Check with TTH if new price is saved<br>5. If you use FXP or FXB save with ER or ERK if ER does not work<br>6. Delete old segments: xe1-2+rt to double check what we have deleted+ er and IR<br>Queue to ticketing<br>Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=title&searchEventId=01H43E247X7KGKHA5GBPN2K9GP&source=shelf&DTStep=01GW4BCMVWMYTN71C4BTP55Z2M >>.<br>Select change status and reason in the rebooking wizard.<br>EDVIN<br>1. Remove flexible ticket from Edvin( if used for all)<br>2. Remove payment link (if applicable)<br>Docs Ref: Step by Step Instructions - Amadeus
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
how to void|1) Jump to correct PCC on same window: AAApcc name<br>2) Open PNR: *PNR<br>Example:<br>AAA4ZTH<br>*ABCDEF<br>3) Open ticket list for all passengers: *T<br>4) Check if Void is permitted, based on the time of ticket issuance, which is indicated in the time zone of the respective PCC.<br>To check the PCC you are in, use the command W/*pcc<br>Example: W/*56WI<br>56WI E-TRAVEL SA/DE<br>BERLIN, DE<br>You could use T*city 3 letter code (T*ATH) to check and compare the local time both in the issuing PCC and in your timeline.<br>If void is possible:<br>1) Void each ticket with command WVline of the ticket<br>Example: WV2 (where 2 is the line of the ticket)<br>The action must be done twice to confirm it, so please reenter the command you previously used.<br>2) To cancel segments, use the command X segment lines.<br>Example: X1-4<br>Every action should be saved in the end with 6 your signature (initials), and ER.<br>Docs Ref: Sabre GDS Entries
cancellation|"Select any one category:=> cancellation||rebooking||baggage||seat||name change and passenger information||schedule change||document and travel information||others<br>"
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
cancellation|"Select any one category:=> cancellation||rebooking||baggage||seat||name change and passenger information||schedule change||document and travel information||others<br>"
nach policy br market|On a go forward, when we receive a name correction or name change request from anyone who has booked through the following 4 sites, we MUST initiate the name correction/change with the airline.<br>A change to a different passenger is not permitted except if the airline's policy allows it.<br>Gotogate BR<br>Mytrip BR<br>Flightnetwork BR<br>Booking.com BR<br>As per legislation (ANAC, art. 8) they have mandated the requirement of reaching out to the airline in writing whenever a name correction or change is being requested.<br>Important points to keep in or not the airline is able to do the name correction or name change, we must inquire with the airline in writing so we have it on record that we initiated the request<br>Our naco/nach fee will always apply, regardless if the airline cost is FOC<br>You should charge our service fees only if the name correction/change has been approved by the airline, along with airline cost for the correction. No fees shall be prepaid before we are sure that the name correction/change is possible.<br>Majority of the name correction/change will be for Gol Linhas G3, Latam LA, Azul Airlines AD & LATAM Airlines Brasil JJ.<br>For LCC bookings, where in Edvin documents it is stated that we should NEVER contact the airline, please refer the customers to the airline directly.<br>For all other booking sources including Consolid, we must assist with the naco/nach, follow the normal routines<br>Docs Ref: NACH Policy - BR market
steps for rebooking with manual change|"Select any one category:=> cancellation||rebooking||baggage||seat||name change and passenger information||schedule change||document and travel information||others<br>"
steps for rebooking with manual change|Step by Step - Amadeus Manual Change<br>You use manual calculation only when ATC not applicable by airline and changes are permitted in fare rules in the same pnr.<br>Possible error message you may receive when you try ATC: Check category 31(amadeus)<br>Always check Fare rules (Category 16) and Max/Min. stay (Category 06 & 07) quoting rebooking charges for<br>manual rebooking.<br>The most important fare rules are:<br>16.PENALTIES<br>11.BLACKOUTS<br>03.SEASONS<br>04.FLIGHT APPL<br>05.ADV RES/TKTG<br>06.MIN STAY<br>07.MAX STAY<br>Availability<br>1. Retrieve pnr in respective office id, use RT+pnr<br>2. Make availability for new flights using below command: sn(date)(citypair)/a(al) ex: sn25decatharn/ask<br>3. Select seats: ss(n.of seats)(class)(line of flight) ex. SS1Y1 OR SS1YY1( If flight with connection)<br>4. Then RT to retrieve pnr<br>ATTENTION:<br>There are airlines, like EK where before the availability and the seat selection must be made after the original segments are removed (removed without saving). Please follow the steps below:<br>1. Retrieve the existing PNR<br>2. Remove the original dates (DO NOT SAVE any segments). Do a fresh availability and sell for the new itinerary required by the passenger. The agent may not see accurate availability, unless holding segments are cancelled.<br>3. After removing the segments, if there is no availability for new dates, the agent can ignore and retrieve the existing PNR No seats from the original booking would have been lost.<br>Pricing<br>1. Price all segments that he will use. If you have round trip and he asks to rebook OB and keep IB you have to include in the command new OB and old IB.<br>2. Pricing: Fxx/s1,2/r,up (informative- prices the class you have selected)<br>Or: Fxp/s1,2 ( prices the classes you have selected and saves the mask)<br>3. Pricing: Fxb/s1,2,4/r,up ( prices the best available combination, check that no downgrade has been done)<br>4. To open specific fare basis pricing mask use FQQ(line of fare basis you want)<br>Calculation<br>1. No flexible tkt: Compare fare+taxes one by one with old ticket in GDS.+penalty from fare rules and convert to pax currency<br>2. Create Add on cart: total yy cost+our voluntary rebooking service fee<br>3. If flexible applied: Compare fare+taxes one by one with old ticket in GDS.<br>4. If you have IT fare: Use TQT to check fare amount of original ticket.<br>5. Create Add on cart: Sum up fare and tax from comparison. No penalty applies<br>6. If passenger will not proceed or you've created Add on cart and it is not working, ignore the pnr and register errand in rebooking wizard with no queue action<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. More details can be found here: Flexible GDS - Rebooking<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=double-click&searchEventId=01GYCEFWXHEYDR9ZG3H82BZYV7&source=shelf&DTStep=01G62Y8VHDWMW0PY8GXHXC08GE#first-opened-step >><br>3. after the fxx- we update segments with TTU/s1,2 and ER(if needed)<br>4. Check with TTH if new price is saved<br>5. If you use FXP or FXB save with ER or ERK if ER does not work<br>6. Delete old segments: xe1-2+rt to double check what we have deleted+ er and IR<br>Queue to ticketing<br>Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=title&searchEventId=01H43E247X7KGKHA5GBPN2K9GP&source=shelf&DTStep=01GW4BCMVWMYTN71C4BTP55Z2M >>.<br>Select change status and reason in the rebooking wizard.<br>EDVIN<br>1. Remove flexible ticket from Edvin( if used for all)<br>2. Remove payment link (if applicable)<br>Docs Ref: Step by Step Instructions - Amadeus
steps for rebooking with manual change|Step by Step - Amadeus Manual Change<br>You use manual calculation only when ATC not applicable by airline and changes are permitted in fare rules in the same pnr.<br>Possible error message you may receive when you try ATC: Check category 31(amadeus)<br>Always check Fare rules (Category 16) and Max/Min. stay (Category 06 & 07) quoting rebooking charges for<br>manual rebooking.<br>The most important fare rules are:<br>16.PENALTIES<br>11.BLACKOUTS<br>03.SEASONS<br>04.FLIGHT APPL<br>05.ADV RES/TKTG<br>06.MIN STAY<br>07.MAX STAY<br>Availability<br>1. Retrieve pnr in respective office id, use RT+pnr<br>2. Make availability for new flights using below command: sn(date)(citypair)/a(al) ex: sn25decatharn/ask<br>3. Select seats: ss(n.of seats)(class)(line of flight) ex. SS1Y1 OR SS1YY1( If flight with connection)<br>4. Then RT to retrieve pnr<br>ATTENTION:<br>There are airlines, like EK where before the availability and the seat selection must be made after the original segments are removed (removed without saving). Please follow the steps below:<br>1. Retrieve the existing PNR<br>2. Remove the original dates (DO NOT SAVE any segments). Do a fresh availability and sell for the new itinerary required by the passenger. The agent may not see accurate availability, unless holding segments are cancelled.<br>3. After removing the segments, if there is no availability for new dates, the agent can ignore and retrieve the existing PNR No seats from the original booking would have been lost.<br>Pricing<br>1. Price all segments that he will use. If you have round trip and he asks to rebook OB and keep IB you have to include in the command new OB and old IB.<br>2. Pricing: Fxx/s1,2/r,up (informative- prices the class you have selected)<br>Or: Fxp/s1,2 ( prices the classes you have selected and saves the mask)<br>3. Pricing: Fxb/s1,2,4/r,up ( prices the best available combination, check that no downgrade has been done)<br>4. To open specific fare basis pricing mask use FQQ(line of fare basis you want)<br>Calculation<br>1. No flexible tkt: Compare fare+taxes one by one with old ticket in GDS.+penalty from fare rules and convert to pax currency<br>2. Create Add on cart: total yy cost+our voluntary rebooking service fee<br>3. If flexible applied: Compare fare+taxes one by one with old ticket in GDS.<br>4. If you have IT fare: Use TQT to check fare amount of original ticket.<br>5. Create Add on cart: Sum up fare and tax from comparison. No penalty applies<br>6. If passenger will not proceed or you've created Add on cart and it is not working, ignore the pnr and register errand in rebooking wizard with no queue action<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. More details can be found here: Flexible GDS - Rebooking<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=double-click&searchEventId=01GYCEFWXHEYDR9ZG3H82BZYV7&source=shelf&DTStep=01G62Y8VHDWMW0PY8GXHXC08GE#first-opened-step >><br>3. after the fxx- we update segments with TTU/s1,2 and ER(if needed)<br>4. Check with TTH if new price is saved<br>5. If you use FXP or FXB save with ER or ERK if ER does not work<br>6. Delete old segments: xe1-2+rt to double check what we have deleted+ er and IR<br>Queue to ticketing<br>Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE<< https://etraveligroup.shelf.io/read/2102661c-4f9f-4afa-88a0-9a4b6c9e2694?parentId=e6a33860-ccb8-4efb-a3f2-2e3bb1fa4c26&view=card-view&trigger=title&searchEventId=01H43E247X7KGKHA5GBPN2K9GP&source=shelf&DTStep=01GW4BCMVWMYTN71C4BTP55Z2M >>.<br>Select change status and reason in the rebooking wizard.<br>EDVIN<br>1. Remove flexible ticket from Edvin( if used for all)<br>2. Remove payment link (if applicable)<br>Docs Ref: Step by Step Instructions - Amadeus
how to rebook ticket|Sabre - Rebooking using Flex and changes not permitted:<br>1. *Sabre - Rebooking using Flex and changes not permitted<br>Availability<br>1. Retrieve pnr in respective office id, use *pnr<br>2. Clone the pnr with ICAPDXA. All details will be cloned.<br>3. Make availability for new and old flights that he wants to keep using the below command:<br>4. ex: Select seats: 0 (n.seats)(class)(line n.) ex. 04k1k3<br>6. *A to retrieve pnr<br>Pricing<br>1. Price all segments that he will use. If he asks to rebook OB and keep IB you have to<br>2. include in the command new OB and old IB.<br>3. Pricing: WPS1/2 For Child: N1.1 For infant N1.1<br>4. Or to find best available combination: (be careful to keep the same baggage allowance as in the original ticket and to not downgrade the cabin, if a specific one has been selected).<br>Calculation<br>1. flexible applied: Compare total new cost with Edvin Air cost.<br>2. If partialy used ticket: Compare total new cost with half of Edvin Air cost.<br>3. Create payment link: Include the fare/tax difference in his currency. No penalty applies<br>4. If passenger will not proceed or you send PL for 30 min, ignore the pnr and register errand in Edvin with Rebooking template ( Flex tkt new tkt)<br>Proceed with change<br>1. Once payment link is paid we do all above steps again<br>2. Save new seats with initials and then ER and then IR to get locator<br>3. Use 7T-A for ticketing element if needed. then initials and ER<br>4. Delete old segments( UC segment): x1-2 and save with initials+er and ir to double check<br>5. Do pricing command again and save it with PQ AND ER.<br>6. Press *pq to be sure that manual pricing mask saved<br>7. Add the email and phone number of pax as SSR CTC lines in the new PNR.<br>Queue to ticketing<br>1. Then open original pnr again:<br>If totally unused delete segment.<br>If partially used: do not delete segments<br>2. Use the rebooking wizard to send the PNR to ticketing.<br>More information can be found under the Rebooking wizard folder<br>If an order needs urgent ticketing, select the Mark as urgent checkbox.<br>For more information click HERE.<br>Select change status and reason in the rebooking wizard.<br>Sabre - Rebooking using Flex and changes not permitted<br>Docs Ref: Sabre - Rebooking using Flex and changes not permitted
